method,path,name,tags,classification
PATCH,/story-development/drafting/manuscript-documents/{document_id},update_manuscript_document,story-development,dual
PATCH,/story-development/flow/stages/{stage_id},update_flow_stage,story-development,dual
PATCH,/story-development/foundation,update_foundation,story-development,dual
PATCH,/story-development/planning/beat-plans/{beat_id},update_beat_plan,story-development,dual
PATCH,/story-development/planning/chapter-packets/{packet_id},update_chapter_packet,story-development,dual
PATCH,/story-development/planning/chapter-plans/{chapter_id},update_chapter_plan,story-development,dual
PATCH,/story-development/planning/scene-plans/{scene_id},update_scene_plan,story-development,dual
PATCH,/story-development/planning/sequence-plans/{sequence_id},update_sequence_plan,story-development,dual
PATCH,/story-development/relationships/{edge_id},update_relationship,story-development,dual
PATCH,/story-development/storyboard/cards/{card_id},update_storyboard_card,story-development,dual
PATCH,/story-development/world-bible/{entry_type}/{title},update_world_bible_entry,story-development,dual
PATCH,/v1/canon/profiles/{profile_id},update_profile,canon-customization,canonical_v1
PATCH,/v1/mythos/entries/{mythos_id},update_entry,mythos-library,canonical_v1
PATCH,/v1/patterns/entries/{pattern_id},update_entry,pattern-library,canonical_v1
PATCH,/v1/story-development/arcs/selections/{selection_id},update_arc_selection,story-development,canonical_v1
PATCH,/v1/story-development/braindump/sessions/{session_id},patch_brain_dump_session,story-development,canonical_v1
PATCH,/v1/story-development/characters/{character_id},update_character,story-development,canonical_v1
PATCH,/v1/story-development/drafting/manuscript-documents/{document_id},update_manuscript_document,story-development,canonical_v1
PATCH,/v1/story-development/flow/stages/{stage_id},update_flow_stage,story-development,canonical_v1
PATCH,/v1/story-development/foundation,update_foundation,story-development,canonical_v1
PATCH,/v1/story-development/planning/beat-plans/{beat_id},update_beat_plan,story-development,canonical_v1
PATCH,/v1/story-development/planning/chapter-packets/{packet_id},update_chapter_packet,story-development,canonical_v1
PATCH,/v1/story-development/planning/chapter-plans/{chapter_id},update_chapter_plan,story-development,canonical_v1
PATCH,/v1/story-development/planning/scene-plans/{scene_id},update_scene_plan,story-development,canonical_v1
PATCH,/v1/story-development/planning/sequence-plans/{sequence_id},update_sequence_plan,story-development,canonical_v1
PATCH,/v1/story-development/relationships/{edge_id},update_relationship,story-development,canonical_v1
PATCH,/v1/story-development/storyboard/cards/{card_id},update_storyboard_card,story-development,canonical_v1
PATCH,/v1/story-development/world-bible/{entry_type}/{title},update_world_bible_entry,story-development,canonical_v1
POST,/auth/keys,create_api_key,authentication,legacy_unversioned
POST,/backup/create,create_backup,backup,legacy_unversioned
POST,/backup/restore/{backup_id},restore_backup,backup,legacy_unversioned
POST,/jobs/create,create_job,jobs,dual
POST,/jobs/{job_id}/retry,retry_job,jobs,dual
POST,/projects/create,create_project,projects,legacy_unversioned
POST,/projects/create/debug,debug_create_project,,internal
POST,/projects/guided-setup/analyze,guided_setup_analyze,projects,legacy_unversioned
POST,/projects/guided-setup/create,guided_setup_create,projects,legacy_unversioned
POST,/projects/import-export,import_export_zip,projects,legacy_unversioned
POST,/projects/import-mythos,import_mythos,projects,legacy_unversioned
POST,/projects/import-patterns,import_patterns,projects,legacy_unversioned
POST,/projects/import-story,import_story,projects,legacy_unversioned
POST,/projects/maintenance/audit-log/truncate,truncate_audit_log,projects,legacy_unversioned
POST,/projects/maintenance/cleanup,cleanup,projects,legacy_unversioned
POST,/projects/maintenance/database/compact,compact_database,projects,legacy_unversioned
POST,/projects/maintenance/scan,scan_orphans,projects,legacy_unversioned
POST,/projects/{project_id}/export,export_project,projects,legacy_unversioned
POST,/projects/{project_id}/extract-patterns,extract_patterns,projects,legacy_unversioned
POST,/projects/{project_id}/generate-description,generate_description,projects,legacy_unversioned
POST,/role-model-checker/run,run_check,role-model-checker,dual
POST,/role-model-checker/start,start_check,role-model-checker,dual
POST,/role-model-checker/{run_id}/retry,retry_run,role-model-checker,dual
POST,/story-development/arcs/candidates,create_arc_candidate,story-development,dual
POST,/story-development/arcs/comparisons,compare_arc_candidates_endpoint,story-development,dual
POST,/story-development/arcs/selections,select_arc_candidate_endpoint,story-development,dual
POST,/story-development/arcs/stage-maps,create_arc_stage_map,story-development,dual
POST,/story-development/braindump/sessions,create_brain_dump_session,story-development,dual
POST,/story-development/braindump/sessions/{session_id}/organize,organize_brain_dump_session,story-development,dual
POST,/story-development/brainstorm/items,create_brainstorm_item,story-development,dual
POST,/story-development/brainstorm/items/cluster,cluster_brainstorm_items,story-development,dual
POST,/story-development/brainstorm/items/promote,promote_brainstorm_item,story-development,dual
POST,/story-development/branches,create_story_branch,story-development,dual
POST,/story-development/branches/active,select_active_story_branch,story-development,dual
POST,/story-development/branches/comparisons,create_branch_comparison,story-development,dual
POST,/story-development/branches/merge-decisions,record_branch_merge_decision,story-development,dual
POST,/story-development/characters,create_character,story-development,dual
POST,/story-development/drafting/draft-artifacts,create_draft_artifact,story-development,dual
POST,/story-development/drafting/draft-artifacts/alternate-variant,create_alternate_variant,story-development,dual
POST,/story-development/drafting/draft-artifacts/continue,continue_draft_artifact,story-development,dual
POST,/story-development/drafting/manuscript-documents,create_manuscript_document,story-development,dual
